time,seconds_elapsed,dBFS
1773200146424000000,37.851,-18
1773200146535000000,37.962,-29
1773200146645000000,38.072,-31
1773200146757000000,38.184,-32
1773200146867000000,38.294,-25
1773200146979000000,38.406,-23
1773200147091000000,38.518,-37
1773200147202000000,38.628999755859375,-21
1773200147312000000,38.739,-26
1773200147424000000,38.851,-34
1773200147537000000,38.964,-32
1773200147645000000,39.072,-25
1773200147757000000,39.184,-33
1773200147867000000,39.294,-31
1773200147978000000,39.40499975585937,-31
1773200148091000000,39.518,-35
1773200148202000000,39.628999755859375,-37
1773200148312000000,39.739,-37
1773200148426000000,39.85299975585937,-33
1773200148534000000,39.96100024414063,-33
1773200148646000000,40.07300024414062,-18
1773200148757000000,40.184,-32
1773200148868000000,40.295,-22
1773200148978000000,40.40499975585937,-18
1773200149090000000,40.51699975585937,-16
1773200149202000000,40.628999755859375,-32
1773200149311000000,40.738,-25
1773200149422000000,40.849000244140626,-17
1773200149533000000,40.96,-28
1773200149644000000,41.071,-30
1773200149755000000,41.182,-26
1773200149866000000,41.29299975585938,-34
1773200149980000000,41.407,-30
1773200150089000000,41.516,-27
1773200150201000000,41.628,-39
1773200150312000000,41.739,-32
1773200150421000000,41.848,-35
1773200150534000000,41.96100024414063,-36
1773200150644000000,42.071,-35
1773200150756000000,42.183,-33
1773200150868000000,42.295,-33
1773200150977000000,42.404,-36
1773200151088000000,42.515,-36
1773200151201000000,42.628,-35
1773200151311000000,42.738,-31
1773200151422000000,42.849000244140626,-30
1773200151534000000,42.96100024414063,-33
1773200151644000000,43.071,-30
1773200151756000000,43.183,-30
1773200151865000000,43.292,-30
1773200151976000000,43.403,-31
1773200152090000000,43.51699975585937,-28
1773200152200000000,43.627,-25
1773200152311000000,43.738,-29
1773200152422000000,43.849000244140626,-25
1773200152533000000,43.96,-25
1773200152644000000,44.071,-24
1773200152754000000,44.180999755859375,-22
1773200152865000000,44.292,-26
1773200152977000000,44.404,-23
1773200153088000000,44.515,-22
1773200153200000000,44.627,-22
1773200153310000000,44.737000244140624,-28
1773200153421000000,44.848,-25
1773200153532000000,44.959,-21
1773200153644000000,45.071,-22
1773200153756000000,45.183,-21
1773200153865000000,45.292,-25
1773200153977000000,45.404,-23
1773200154087000000,45.514,-22
1773200154198000000,45.62500024414062,-29
1773200154308000000,45.735,-32
1773200154421000000,45.848,-29
1773200154532000000,45.959,-28
1773200154642000000,46.06899975585937,-29
1773200154760000000,46.187,-29
1773200154865000000,46.292,-31
1773200154975000000,46.402,-29
1773200155088000000,46.515,-31
1773200155198000000,46.62500024414062,-28
1773200155309000000,46.736,-30
1773200155420000000,46.847,-28
1773200155532000000,46.959,-26
1773200155642000000,47.06899975585937,-23
1773200155753000000,47.18,-27
1773200155864000000,47.291,-25
1773200155975000000,47.402,-25
1773200156088000000,47.515,-27
1773200156198000000,47.62500024414062,-25
1773200156309000000,47.736,-23
1773200156421000000,47.848,-23
1773200156531000000,47.958,-25
1773200156643000000,48.07,-22
1773200156753000000,48.18,-21
1773200156865000000,48.292,-20
1773200156975000000,48.402,-24
1773200157087000000,48.514,-20
1773200157198000000,48.62500024414062,-23
1773200157309000000,48.736,-21
1773200157420000000,48.847,-25
1773200157531000000,48.958,-28
1773200157643000000,49.07,-23
1773200157753000000,49.18,-25
1773200157865000000,49.292,-21
1773200157976000000,49.403,-20
1773200158086000000,49.51300024414063,-26
1773200158198000000,49.62500024414062,-26
1773200158308000000,49.735,-25
1773200158419000000,49.846,-28
1773200158531000000,49.958,-29
1773200158641000000,50.068,-25
1773200158753000000,50.18,-24
1773200158863000000,50.29,-24
1773200158980000000,50.407,-22
1773200159086000000,50.51300024414063,-20
1773200159198000000,50.62500024414062,-23
1773200159308000000,50.735,-20
1773200159418000000,50.84499975585938,-23
1773200159530000000,50.95699975585938,-25
1773200159641000000,51.068,-23
1773200159752000000,51.179,-25
1773200159863000000,51.29,-26
1773200159974000000,51.401000244140626,-28
1773200160084000000,51.511,-24
1773200160197000000,51.624,-21
1773200160307000000,51.734,-24
1773200160420000000,51.847,-25
1773200160529000000,51.956,-23
1773200160641000000,52.068,-24
1773200160751000000,52.178,-22
1773200160862000000,52.289000244140624,-26
1773200160975000000,52.402,-24
1773200161084000000,52.511,-17
1773200161196000000,52.623,-13
1773200161306000000,52.732999755859375,-12
1773200161418000000,52.84499975585938,-21
1773200161528000000,52.955,-16
1773200161641000000,53.068,-18
1773200161750000000,53.17700024414062,-20
1773200161862000000,53.289000244140624,-22
1773200161972000000,53.399,-22
1773200162087000000,53.514,-29
1773200162196000000,53.623,-27
1773200162307000000,53.734,-20
1773200162418000000,53.84499975585938,-24
1773200162529000000,53.956,-29
1773200162641000000,54.068,-23
1773200162751000000,54.178,-26
1773200162862000000,54.289000244140624,-22
1773200162973000000,54.4,-27
1773200163085000000,54.512,-30
1773200163196000000,54.623,-29
1773200163307000000,54.734,-24
1773200163417000000,54.844,-30
1773200163529000000,54.956,-27
1773200163641000000,55.068,-20
1773200163752000000,55.179,-21
1773200163860000000,55.287,-16
1773200163973000000,55.4,-21
1773200164086000000,55.51300024414063,-27
1773200164195000000,55.622,-25
1773200164306000000,55.732999755859375,-15
1773200164417000000,55.844,-30
1773200164528000000,55.955,-24
1773200164639000000,56.066,-21
1773200164750000000,56.17700024414062,-19
1773200164860000000,56.287,-25
1773200164971000000,56.398,-16
1773200165090000000,56.51699975585937,-24
1773200165194000000,56.62099975585937,-28
1773200165305000000,56.732,-30
1773200165417000000,56.844,-29
1773200165528000000,56.955,-24
1773200165639000000,57.066,-9
1773200165750000000,57.17700024414062,-19
1773200165861000000,57.288,-16
1773200165971000000,57.398,-12
1773200166083000000,57.51,-14
1773200166194000000,57.62099975585937,-17
1773200166306000000,57.732999755859375,-14
1773200166416000000,57.843,-13
1773200166527000000,57.954,-17
1773200166638000000,58.06500024414063,-20
1773200166750000000,58.17700024414062,-28
1773200166860000000,58.287,-24
1773200166972000000,58.399,-19
1773200167084000000,58.511,-31
1773200167193000000,58.62,-24
1773200167305000000,58.732,-24
1773200167415000000,58.842,-26
1773200167527000000,58.954,-28
1773200167638000000,59.06500024414063,-25
1773200167748000000,59.175,-27
1773200167859000000,59.286,-29
1773200167971000000,59.398,-27
1773200168081000000,59.508,-23
1773200168192000000,59.619,-18
1773200168303000000,59.73,-18
1773200168414000000,59.84100024414062,-28
1773200168548000000,59.975,-29
1773200168663000000,60.09,-22
1773200168777000000,60.204,-29
1773200168890000000,60.31699975585938,-17
1773200168996000000,60.423,-26
1773200169116000000,60.543,-28
1773200169225000000,60.652,-27
1773200169342000000,60.76900024414063,-22
1773200169460000000,60.887,-31
1773200169575000000,61.002,-29
1773200169691000000,61.118,-31
1773200169808000000,61.235,-25
1773200169922000000,61.348999755859374,-26
1773200170037000000,61.464,-19
1773200170152000000,61.579,-14
1773200170269000000,61.696,-13
1773200170384000000,61.811,-30
1773200170499000000,61.926,-29
1773200170615000000,62.042,-14
1773200170730000000,62.156999755859374,-15
1773200170847000000,62.274,-18
1773200170962000000,62.38899975585937,-31
1773200171077000000,62.504,-26
1773200171192000000,62.619,-21
1773200171308000000,62.735,-27
1773200171416000000,62.843,-20
1773200171532000000,62.959,-25
1773200171648000000,63.075,-25
1773200171765000000,63.192,-24
1773200171879000000,63.306,-24
1773200171995000000,63.422,-21
1773200172116000000,63.543,-31
1773200172231000000,63.658,-29
1773200172348000000,63.775,-29
1773200172464000000,63.891,-15
1773200172579000000,64.006,-21
1773200172695000000,64.122,-24
1773200172810000000,64.23699975585937,-21
1773200172925000000,64.352,-20
1773200173041000000,64.468,-17
1773200173162000000,64.58899975585938,-21
1773200173279000000,64.706,-22
1773200173382000000,64.80900024414062,-26
1773200173488000000,64.915,-24
1773200173601000000,65.028,-160
1773200173719000000,65.146,-160
1773200173834000000,65.26099975585937,-160
1773200173949000000,65.376,-160
1773200174065000000,65.492,-160
1773200174180000000,65.607,-160
1773200174295000000,65.722,-160
1773200174412000000,65.839,-160
1773200174528000000,65.955,-160
1773200174633000000,66.06,-160
1773200174749000000,66.176,-160
1773200174863000000,66.29,-160
1773200174979000000,66.406,-160
1773200175095000000,66.522,-160
1773200175211000000,66.638,-160
1773200175327000000,66.754,-160
1773200175444000000,66.871,-160
1773200175559000000,66.986,-160
1773200175675000000,67.102,-160
1773200175791000000,67.218,-160
1773200175907000000,67.334,-160
1773200176021000000,67.448,-160
1773200176137000000,67.564,-160
1773200176254000000,67.68100024414062,-160
1773200176369000000,67.796,-160
1773200176484000000,67.911,-160
1773200176599000000,68.026,-160
1773200176713000000,68.14,-160
1773200176830000000,68.25700024414063,-160
1773200176947000000,68.374,-160
1773200177064000000,68.491,-160
1773200177176000000,68.603,-160
1773200177279000000,68.706,-160
