time,seconds_elapsed,dBFS
1773230492245000000,75.863,-160
1773230492361000000,75.979,-160
1773230492478000000,76.09600024414063,-160
1773230492593000000,76.211,-160
1773230492709000000,76.327,-160
1773230492825000000,76.443,-160
1773230492942000000,76.56000024414062,-160
1773230493058000000,76.67599975585938,-160
1773230493174000000,76.79200024414062,-160
1773230493290000000,76.90799975585938,-160
1773230493407000000,77.025,-160
1773230493522000000,77.13999975585938,-160
1773230493639000000,77.257,-160
1773230493754000000,77.37199975585938,-160
1773230493869000000,77.487,-160
1773230493985000000,77.603,-160
1773230494103000000,77.721,-160
1773230494217000000,77.835,-160
1773230494334000000,77.95200024414062,-160
1773230494449000000,78.067,-160
1773230494565000000,78.183,-160
1773230494681000000,78.299,-160
1773230494797000000,78.415,-160
1773230494913000000,78.531,-160
1773230495034000000,78.65199975585938,-160
1773230495143000000,78.761,-160
1773230495259000000,78.877,-160
1773230495375000000,78.993,-160
1773230495491000000,79.109,-160
1773230495609000000,79.227,-160
1773230495724000000,79.342,-160
1773230495839000000,79.457,-160
1773230495954000000,79.57199975585938,-160
1773230496072000000,79.69,-160
1773230496187000000,79.805,-160
1773230496302000000,79.92000024414062,-160
1773230496425000000,80.043,-160
1773230496533000000,80.151,-160
1773230496648000000,80.266,-160
1773230496762000000,80.37999975585937,-160
1773230496879000000,80.497,-160
1773230496996000000,80.614,-160
1773230497110000000,80.72800024414063,-160
1773230497229000000,80.847,-160
1773230497342000000,80.96000024414063,-160
1773230497460000000,81.078,-160
1773230497577000000,81.195,-160
1773230497693000000,81.311,-160
1773230497808000000,81.426,-160
1773230497924000000,81.542,-160
1773230498045000000,81.663,-160
1773230498156000000,81.774,-160
1773230498272000000,81.89,-160
1773230498389000000,82.007,-160
1773230498505000000,82.123,-160
1773230498622000000,82.24000024414063,-160
1773230498737000000,82.355,-160
1773230498852000000,82.47,-160
1773230498968000000,82.586,-160
1773230499085000000,82.703,-160
1773230499200000000,82.818,-160
1773230499316000000,82.934,-160
1773230499433000000,83.051,-160
1773230499546000000,83.16399975585938,-160
1773230499663000000,83.281,-160
1773230499779000000,83.397,-160
1773230499895000000,83.513,-160
1773230500010000000,83.62799975585938,-160
1773230500129000000,83.747,-160
1773230500243000000,83.861,-160
1773230500359000000,83.977,-160
1773230500476000000,84.094,-160
1773230500593000000,84.211,-160
1773230500710000000,84.32800024414063,-160
1773230500825000000,84.443,-160
1773230500940000000,84.558,-160
1773230501055000000,84.673,-160
1773230501173000000,84.791,-160
1773230501289000000,84.907,-160
1773230501404000000,85.022,-160
1773230501519000000,85.137,-160
1773230501635000000,85.253,-160
1773230501757000000,85.375,-160
1773230501869000000,85.487,-160
1773230501975000000,85.593,-160
1773230502093000000,85.711,-160
1773230502208000000,85.826,-160
1773230502324000000,85.942,-160
1773230502439000000,86.057,-160
1773230502556000000,86.174,-160
1773230502673000000,86.291,-160
1773230502788000000,86.406,-160
1773230502904000000,86.522,-160
1773230503021000000,86.639,-160
1773230503136000000,86.754,-160
1773230503252000000,86.87,-160
1773230503369000000,86.987,-160
1773230503486000000,87.10400024414062,-160
1773230503604000000,87.222,-160
1773230503719000000,87.337,-160
1773230503834000000,87.45199975585938,-160
1773230503952000000,87.57,-160
1773230504113000000,87.731,-160
1773230504217000000,87.835,-160
1773230504333000000,87.951,-160
1773230504448000000,88.066,-160
1773230504566000000,88.18400024414062,-160
1773230504679000000,88.297,-160
1773230504795000000,88.413,-160
1773230504913000000,88.531,-160
1773230505031000000,88.649,-160
1773230505146000000,88.76399975585937,-160
1773230505260000000,88.878,-160
1773230505376000000,88.994,-160
1773230505491000000,89.109,-160
